demand	
0	0	0	200	437	254
1	8	1	13	437	254
2	10	1	15	558	226
1	16	1	21	603	138
2	19	1	24	480	53
1	21	1	26	650	69
1	11	1	16	747	94
1	15	1	20	416	38
1	22	1	27	257	29
1	19	1	24	182	20
3	18	1	23	110	39
1	28	1	33	194	86
1	12	1	17	125	171
1	15	1	20	182	239
1	19	1	24	98	256
1	17	1	22	367	220
1	20	1	25	279	268
2	14	1	19	194	363
1	19	1	24	173	417
1	24	1	29	110	402
2	21	1	26	98	447
1	9	1	14	176	567
1	15	1	20	448	399
1	20	1	25	468	462
1	13	1	18	288	509
1	29	1	34	482	600
1	18	1	23	765	402
1	21	1	26	803	518
2	15	1	20	594	375
1	11	1	16	695	332
1	24	1	29	531	288
