demand
0	437	254	0	0	2000	0
1	558	226	1	1	80	10
2	603	138	2	1	100	10
3	480	53	1	1	160	10
4	650	69	2	1	190	10
5	747	94	1	1	210	10
6	416	38	1	1	110	10
7	257	29	1	1	150	10
8	182	20	1	1	220	10
9	110	39	1	1	190	10
10	194	86	1	1	180	10
11	125	171	1	1	280	10
12	182	239	1	1	120	10
13	98	256	1	1	150	10
14	367	220	1	1	190	10
15	279	268	1	1	170	10
16	194	363	1	1	200	10
17	173	417	2	1	140	10
18	110	402	1	1	190	10
19	98	447	1	1	240	10
20	176	567	2	1	210	10
21	448	399	1	1	90	10
22	468	462	1	1	150	10
23	288	509	1	1	200	10
24	482	600	1	1	130	10
25	765	402	1	1	290	10
26	803	518	1	1	180	10
27	594	375	1	1	210	10
28	695	332	2	1	150	10
29	531	288	1	1	110	10
30	618	226	1	1	240	10
