demand	
0	0	0	200	437	254
1	8	1	11	558	226
2	10	1	13	603	138
1	16	1	19	480	53
2	19	1	22	650	69
1	21	1	24	747	94
1	11	1	14	416	38
1	15	1	18	257	29
1	22	1	25	182	20
1	19	1	22	110	39
3	18	1	21	194	86
1	28	1	31	125	171
1	12	1	15	182	239
1	15	1	18	98	256
1	19	1	22	367	220
1	17	1	20	279	268
1	20	1	23	194	363
2	14	1	17	173	417
1	19	1	22	110	402
1	24	1	27	98	447
2	21	1	24	176	567
1	9	1	12	448	399
1	15	1	18	468	462
1	20	1	23	288	509
1	13	1	16	482	600
1	29	1	32	765	402
1	18	1	21	803	518
1	21	1	24	594	375
2	15	1	18	695	332
1	11	1	14	531	288
1	24	1	27	618	226
