0	16	25	37	40	53	17	37	50	53	43	53	40	50	24	30	43	50	50	87	77	23	32	47	47	60	60	31	40	16	50
16	0	28	50	43	57	29	50	60	67	53	57	50	60	40	47	60	67	67	100	90	37	47	60	60	73	70	43	53	28	43
25	28	0	43	21	33	27	57	70	73	60	63	60	67	50	57	70	110	110	107	97	47	57	70	70	80	80	50	60	37	53
37	50	43	0	63	63	21	57	57	63	63	67	60	70	63	70	83	110	110	107	113	63	73	87	87	103	97	67	77	53	70
40	43	21	63	0	17	43	73	83	90	77	80	73	83	63	70	83	90	90	123	113	63	73	87	87	100	97	67	77	53	70
53	57	33	63	17	0	63	80	93	103	90	93	87	97	77	83	97	103	103	113	123	73	83	97	97	113	107	80	90	63	80
17	29	27	21	43	63	0	33	47	50	43	47	40	50	43	50	63	90	90	90	93	43	53	87	67	83	77	47	57	33	50
37	50	57	57	73	80	33	0	70	18	16	33	37	40	63	70	83	90	90	90	97	63	73	107	87	103	97	67	77	53	70
50	60	70	57	83	93	47	70	0	12	12	30	33	33	77	83	97	87	87	83	90	73	83	103	97	113	110	80	90	67	83
53	67	73	63	90	103	50	18	12	0	13	23	31	27	80	87	97	80	80	77	83	80	90	97	103	120	113	83	93	70	87
43	53	60	63	77	90	43	16	12	13	0	18	20	23	70	73	93	77	77	73	80	67	77	93	90	107	100	73	83	57	73
53	57	63	67	80	93	47	33	30	23	18	0	11	8	70	80	73	53	53	53	60	70	80	70	93	110	103	73	83	87	77
40	50	60	60	73	87	40	37	33	31	20	11	0	8	67	73	77	60	60	57	67	67	77	77	87	103	100	70	80	57	70
50	60	67	70	83	97	50	40	33	27	23	8	8	0	77	80	73	53	53	53	57	73	83	83	97	110	107	80	90	63	80
24	40	50	63	63	77	43	63	77	80	70	70	67	77	0	18	25	40	40	50	47	31	37	40	60	77	70	43	53	28	40
30	47	57	70	70	83	50	70	83	87	73	80	73	80	18	0	18	25	25	33	32	25	30	33	67	83	77	47	57	33	50
43	60	70	83	83	97	63	83	97	97	93	73	77	73	25	18	0	16	11	25	29	40	43	47	73	97	90	60	70	47	63
50	67	110	110	90	103	90	90	87	80	77	53	60	53	40	25	16	0	7	8	22	47	50	47	70	130	123	93	103	53	97
50	67	110	110	90	103	90	90	87	80	77	53	60	53	40	25	11	7	0	16	30	47	50	53	77	103	97	67	77	53	70
87	100	107	107	123	113	90	90	83	77	73	53	57	53	50	33	25	8	16	0	19	57	60	43	67	127	120	93	103	63	93
77	90	97	113	113	123	93	97	90	83	80	60	67	57	47	32	29	22	30	19	0	47	43	20	47	103	100	70	80	77	73
23	37	47	63	63	73	43	63	73	80	67	70	67	73	31	25	40	47	47	57	47	0	13	29	60	77	70	40	50	26	43
32	47	57	73	73	83	53	73	83	90	77	80	77	83	37	30	43	50	50	60	43	13	0	27	70	87	80	50	60	37	53
47	60	70	87	87	97	87	107	103	97	93	70	77	83	40	33	47	47	53	43	20	29	27	0	53	110	107	77	87	50	80
47	60	70	87	87	97	67	87	97	103	90	93	87	97	60	67	73	70	77	67	47	60	70	53	0	77	70	43	53	47	43
60	73	80	103	100	113	83	103	113	120	107	110	103	110	77	83	97	130	103	127	103	77	87	110	77	0	8	40	22	67	33
60	70	80	97	97	107	77	97	110	113	100	103	100	107	70	77	90	123	97	120	100	70	80	107	70	8	0	33	22	60	28
31	43	50	67	67	80	47	67	80	83	73	73	70	80	43	47	60	93	67	93	70	40	50	77	43	40	33	0	11	30	7
40	53	60	77	77	90	57	77	90	93	83	83	80	90	53	57	70	103	77	103	80	50	60	87	53	22	22	11	0	40	17
16	28	37	53	53	63	33	53	67	70	57	87	57	63	28	33	47	53	53	63	77	26	37	50	47	67	60	30	40	0	30
50	43	53	70	70	80	50	70	83	87	73	77	70	80	40	50	63	97	70	93	73	43	53	80	43	33	28	7	17	30	0
