0.00																				
5.33	0.00																			
5.33	3.03	0.00																		
6.33	4.00	1.17	0.00																	
6.33	3.33	1.71	2.25	0.00																
5.67	2.74	1.41	1.94	1.19	0.00															
6.67	5.33	4.33	4.67	2.47	2.72	0.00														
6.67	6.33	5.00	5.67	3.12	3.67	1.40	0.00	0.00												
6.67	4.33	1.52	1.08	2.41	2.11	5.00	5.67	0.00												
5.33	5.33	4.67	5.00	4.00	3.10	2.76	2.68	5.33	0.00											
4.00	5.33	4.67	5.67	5.00	4.33	5.00	5.33	5.67	3.08	0.00										
2.62	1.82	4.33	5.33	4.67	4.00	6.67	8.00	5.67	6.67	6.67	0.00									
1.86	5.67	5.67	6.67	6.00	5.33	8.33	8.67	6.67	6.67	4.67	7.00	0.00								
3.67	2.63	2.56	3.67	2.94	2.27	5.00	6.00	3.67	5.00	4.67	4.00	2.94	0.00							
4.33	2.08	2.02	3.07	2.39	1.72	4.33	5.33	3.23	6.33	4.33	3.33	4.00	0.90	0.00						
4.67	0.84	3.33	4.33	3.67	3.08	5.67	6.67	4.67	5.67	5.67	1.84	6.00	2.95	2.39	0.00					
3.32	3.67	4.00	5.00	4.33	3.67	6.33	7.33	5.33	6.33	6.33	4.33	3.67	3.33	2.87	2.69	0.00				
4.33	1.98	4.67	5.67	5.00	4.33	7.00	8.00	5.67	6.67	6.67	2.84	5.33	4.00	3.67	1.14	2.23	0.00			
4.00	2.21	4.67	5.67	5.00	4.33	7.00	8.33	6.00	7.00	7.00	3.07	4.67	4.33	3.67	1.36	2.01	0.80	0.00		
4.00	3.67	6.33	7.33	6.67	6.00	8.67	9.67	7.33	8.33	8.33	4.67	5.00	5.67	5.33	2.80	2.33	2.23	1.27	0.00	
4.67	0.51	2.25	3.30	2.62	1.95	4.67	5.67	3.33	6.33	4.67	1.79	4.67	1.68	1.05	0.80	1.98	1.94	2.17	3.67	0.00
