ccdemand	
0	0	0	100	0	100	368.66	14.09
1	12	1	22	1	17	121.32	161.25
1	8	1	18	1	13	126.46	191.21
1	14	1	24	1	19	119.61	263.09
2	7	1	17	1	12	217.18	293.91
1	16	1	26	1	21	251.41	251.12
1	14	1	24	1	19	283.93	322.15
1	11	1	21	1	16	325.87	355.53
1	13	1	23	1	18	332.72	317.01
2	22	1	32	1	27	392.62	222.87
1	17	1	27	1	22	346.41	155.26
1	15	1	25	1	20	360.1	90.22
2	12	1	22	1	17	334.43	46.57
1	15	1	25	1	20	257.4	134.72
1	11	1	21	1	16	226.59	168.95
2	16	1	26	1	21	119.61	162.11
1	15	1	25	1	20	178.66	98.78
1	18	1	28	1	23	99.07	82.52
1	13	1	23	1	18	120.47	83.37
1	21	1	31	1	26	110.19	40.58
2	8	1	18	1	13	131.59	148.41
